,id_city,city_name,dens_pop
1555,01230,Mantenay-Montlin,28.89
1563,01231,Manziat,154.24
1571,01232,Marboz,56.7
1579,01233,Marchamp,9.92
1587,01234,Marignieu,47.61
1595,01235,Marlieux,68.78
1603,01236,Marsonnas,55.01
1611,01237,Martignat,125.81
1619,01238,Massieux,861.29
1627,01239,Massignieu-de-Rives,65.13
1635,01240,Matafelon-Granges,29.11
1643,01241,Meillonnas,76.44
1651,01242,Mérignat,42.59
1659,01243,Messimy-sur-Saône,210.59
1667,01244,Meximieux,576.22
1675,01245,Bohas-Meyriat-Rignat,40.11
1683,01246,Mézériat,115.65
1691,01247,Mijoux,14.18
1699,01248,Mionnay,111.98
1707,01249,Miribel,413.31
1715,01250,Misérieux,266.4
1723,01252,Mogneneins,91.72
1731,01254,Montagnat,153.89
1739,01255,Montagnieu,104.02
1747,01257,Montanges,25.62
1755,01258,Montceaux,118.64
1763,01259,Montcet,105.09
1771,01260,Le Montellier,19.64
1779,01261,Monthieux,62.14
1787,01262,Montluel,171.68
1795,01263,Montmerle-sur-Saône,906.73
1803,01264,Montracol,69.78
1811,01265,Montréal-la-Cluse,269.37
1819,01266,Montrevel-en-Bresse,250.83
1827,01267,Nurieux-Volognat,53
1835,01268,Murs-et-Gélignieux,38.08
1843,01269,Nantua,270.05
1851,01272,Neuville-les-Dames,56.41
1859,01273,Neuville-sur-Ain,90.96
1867,01274,Les Neyrolles,67.89
1875,01275,Neyron,479.29
1883,01276,Niévroz,155.26
1891,01277,Nivollet-Montgriffon,14.2
1899,01279,Oncieu,10.31
1907,01280,Ordonnaz,9.27
1915,01281,Ornex,794.86
1923,01282,Outriaz,43.65
1931,01283,Oyonnax,620.67
1939,01284,Ozan,105.15
1947,01285,Parcieux,391.4
1955,01286,Parves et Nattages,59.96
1963,01288,Péron,104.46
1971,01289,Péronnas,371.51
1979,01290,Pérouges,67.11
1987,01291,Perrex,76.06
1995,01293,Peyriat,24.83
2003,01294,Peyrieu,62.7
2011,01295,Peyzieux-sur-Saône,79.21
2019,01296,Pirajoux,32.33
2027,01297,Pizay,77.55
2035,01298,Plagne,24.19
2043,01299,Le Plantay,29.26
2051,01301,Polliat,126.91
2059,01302,Pollieu,43.94
2067,01303,Poncin,85.94
2075,01304,Pont-d'Ain,260.61
2083,01305,Pont-de-Vaux,293.5
2091,01306,Pont-de-Veyle,845.88
2099,01307,Port,196.71
2107,01308,Pougny,103.86
2115,01309,Pouillat,13.64
2123,01310,Prémeyzel,32.9
2131,01311,Prémillieu,5.17
2139,01313,Prévessin-Moëns,721.71
2147,01314,Priay,109.64
2155,01317,Ramasse,33.47
2163,01318,Rancé,76.18
2171,01319,Relevant,37.64
2179,01320,Replonges,228.37
2187,01321,Revonnas,114.58
2195,01322,Reyrieux,317.45
2203,01323,Reyssouze,103.67
2211,01325,Rignieux-le-Franc,68.71
2219,01328,Romans,26.75
2227,01329,Rossillon,18.96
2235,01330,Ruffieu,12.97
2243,01331,Saint-Alban,23.14
2251,01332,Saint-André-de-Bâgé,288.52
2259,01333,Saint-André-de-Corcy,162.52
