,id_city,id_reg,id_dep,city_name
0,01001,84,01,L'Abergement-Clémenciat
1,01002,84,01,L'Abergement-de-Varey
2,01004,84,01,Ambérieu-en-Bugey
3,01005,84,01,Ambérieux-en-Dombes
4,01006,84,01,Ambléon
5,01007,84,01,Ambronay
6,01008,84,01,Ambutrix
7,01009,84,01,Andert-et-Condon
8,01010,84,01,Anglefort
9,01011,84,01,Apremont
10,01012,84,01,Aranc
11,01013,84,01,Arandas
12,01014,84,01,Arbent
13,01015,84,01,Arboys en Bugey
15,01016,84,01,Arbigny
16,01017,84,01,Argis
17,01019,84,01,Armix
18,01021,84,01,Ars-sur-Formans
19,01022,84,01,Artemare
20,01023,84,01,Asnières-sur-Saône
21,01024,84,01,Attignat
22,01025,84,01,Bâgé-Dommartin
24,01026,84,01,Bâgé-le-Châtel
25,01027,84,01,Balan
26,01028,84,01,Baneins
27,01029,84,01,Beaupont
28,01030,84,01,Beauregard
29,01031,84,01,Bellignat
30,01032,84,01,Béligneux
31,01033,84,01,Valserhône
33,01034,84,01,Belley
34,01035,84,01,Belleydoux
35,01036,84,01,Valromey-sur-Séran
37,01037,84,01,Bénonces
38,01038,84,01,Bény
39,01039,84,01,Béon
40,01040,84,01,Béréziat
41,01041,84,01,Bettant
42,01042,84,01,Bey
43,01043,84,01,Beynost
44,01044,84,01,Billiat
45,01045,84,01,Birieux
46,01046,84,01,Biziat
47,01047,84,01,Blyes
48,01049,84,01,La Boisse
49,01050,84,01,Boissey
50,01051,84,01,Bolozon
51,01052,84,01,Bouligneux
52,01053,84,01,Bourg-en-Bresse
53,01054,84,01,Bourg-Saint-Christophe
54,01056,84,01,Boyeux-Saint-Jérôme
55,01057,84,01,Boz
56,01058,84,01,Brégnier-Cordon
58,01060,84,01,Brénod
59,01061,84,01,Brens
60,01062,84,01,Bressolles
61,01063,84,01,Brion
62,01064,84,01,Briord
63,01065,84,01,Buellas
64,01066,84,01,La Burbanche
65,01067,84,01,Ceignes
66,01068,84,01,Cerdon
67,01069,84,01,Certines
