,city_name,id_city,no_commute_pop
5392,Genouilleux,01169,20.7428992702078
5427,Béard-Géovreissiat,01170,64.9292749340926
5450,Géovreisset,01171,20.1438931822045
5477,Gex,01173,1511.49536610777
5656,Giron,01174,50.5681818181818
5668,Gorrevod,01175,50.0
5691,Grand-Corent,01177,10.0
5702,Grièges,01179,119.808917197452
5748,Grilly,01180,54.8040380047506
5769,Groissiat,01181,115.0
5784,Guéreins,01183,153.628412822759
5832,Hautecourt-Romanèche,01184,40.3703703703703
5870,Plateau d'Hauteville,01185,1327.78784496086
5918,Haut Valromey,01187,85.0
5932,Illiat,01188,48.6784140969163
5970,Injoux-Génissiat,01189,90.0
5999,Innimond,01190,24.438202247191
6007,Izenave,01191,14.8076923076923
6029,Izernore,01192,361.109068363845
6054,Izieu,01193,5.0
6078,Jassans-Riottier,01194,500.370864282295
6195,Jasseron,01195,141.511777201221
6229,Jayat,01196,72.6387922475955
6254,Journans,01197,15.2029800490937
6268,Joyeux,01198,5.01730082157765
6294,Jujurieux,01199,166.167545687257
6345,Labalme,01200,15.0723152483162
6375,Lagnieu,01202,796.999232757307
6469,Laiz,01203,113.656320430836
6502,Le Poizat-Lalleyriat,01204,60.4394581764029
6548,Lapeyrouse,01207,40.2593087007707
6567,Lavours,01208,4.85185185185185
6579,Léaz,01209,35.0
6604,Lélex,01210,49.818509371709
6619,Lent,01211,50.4061139966948
6653,Lescheroux,01212,55.4634831460674
6685,Leyment,01213,86.396486468954
6733,Leyssard,01214,4.90683229813665
6763,Lhuis,01216,105.12740956377
6790,Lompnas,01219,10.0
6808,Loyettes,01224,174.028663785052
6876,Lurcy,01225,5.33399476576016
6906,Magnieu,01227,15.0233644859813
6933,Maillat,01228,70.0
6955,Malafretaz,01229,39.1076266998401
6983,Mantenay-Montlin,01230,39.9047990387158
7007,Manziat,01231,154.482319696508
7053,Marboz,01232,234.573573035187
7101,Marignieu,01234,25.0
7111,Marlieux,01235,83.5780912599737
7154,Marsonnas,01236,65.0
7182,Martignat,01237,111.327877629841
7205,Massieux,01238,187.26166709245
7286,Massignieu-de-Rives,01239,41.1142650019636
7311,Matafelon-Granges,01240,29.1605164546785
7327,Meillonnas,01241,95.0
7355,Mérignat,01242,15.0
7364,Messimy-sur-Saône,01243,110.0
7421,Meximieux,01244,786.390381171644
7516,Bohas-Meyriat-Rignat,01245,40.6276414214838
7558,Mézériat,01246,145.426320050131
7599,Mijoux,01247,78.2608695652174
7616,Mionnay,01248,132.113585746102
7692,Miribel,01249,928.326965412092
7814,Misérieux,01250,98.4149517645696
7876,Mogneneins,01252,55.0
7920,Montagnat,01254,125.460786107649
7953,Montagnieu,01255,10.0
7976,Montanges,01257,20.0
7993,Montceaux,01258,74.3457879194595
8039,Montcet,01259,29.7457627118644
8062,Le Montellier,01260,24.8355263157895
8084,Monthieux,01261,67.6934552723918
8131,Montluel,01262,665.0
8230,Montmerle-sur-Saône,01263,265.86038961039
8307,Montracol,01264,85.0
8352,Montréal-la-Cluse,01265,386.639235321892
8385,Montrevel-en-Bresse,01266,332.670392771213
8422,Nurieux-Volognat,01267,94.333266456917
8440,Murs-et-Gélignieux,01268,5.0
8468,Nantua,01269,440.696805344294
8505,Neuville-les-Dames,01272,158.288480002877
8554,Neuville-sur-Ain,01273,123.752015921173
8598,Les Neyrolles,01274,30.0
8619,Neyron,01275,193.171320375862
8674,Niévroz,01276,145.315739228486
8730,Oncieu,01279,4.76190476190476
8734,Ordonnaz,01280,4.8936170212766
8749,Ornex,01281,282.621103708921
8799,Outriaz,01282,25.0
8838,Oyonnax,01283,4844.56355700815
8930,Ozan,01284,59.4822216158902
8952,Parcieux,01285,76.5339461270885
8999,Parves et Nattages,01286,50.0
9042,Péron,01288,228.205384815925
9104,Péronnas,01289,529.845709160645
9176,Pérouges,01290,144.28882413302
9212,Perrex,01291,45.7491569508891
9243,Peyriat,01293,14.140127388535
9255,Peyrieu,01294,82.4079988902063
9283,Peyzieux-sur-Saône,01295,41.5056711025454
9322,Pirajoux,01296,10.3837838704677
9343,Pizay,01297,40.0
9381,Plagne,01298,15.0
9394,Le Plantay,01299,15.492068223167
9435,Polliat,01301,137.654111164512
9492,Poncin,01303,250.920220388597
9557,Pont-d'Ain,01304,261.810029498527
9610,Pont-de-Vaux,01305,305.0
9663,Pont-de-Veyle,01306,75.4516538856001
9702,Port,01307,60.0
9714,Pougny,01308,45.0
9739,Pouillat,01309,9.65909090909091
9745,Prémeyzel,01310,5.15883540012759
9749,Prémillieu,01311,15.0
9762,Prévessin-Moëns,01313,477.148367620752
9845,Priay,01314,125.467141030423
9887,Ramasse,01317,15.0
9899,Rancé,01318,60.0
9945,Relevant,01319,34.9250535331906
9978,Replonges,01320,316.537908298394
10053,Revonnas,01321,49.9884700243917
10087,Reyrieux,01322,444.10176344422
10185,Reyssouze,01323,89.2422193776636
10220,Rignieux-le-Franc,01325,69.3802529658408
10265,Romans,01328,30.0076109326707
10288,Rossillon,01329,20.0
10305,Saint-Alban,01331,4.86979166666667
10324,Saint-André-de-Bâgé,01332,25.646796086451
10366,Saint-André-de-Corcy,01333,293.699361330956
10435,Saint-André-d'Huiriat,01334,41.4337267178663
10460,Saint-André-le-Bouchoux,01335,35.0
10484,Saint-André-sur-Vieux-Jonc,01336,74.1786015164279
10521,Saint-Bénigne,01337,72.6667808749622
10553,Groslée-Saint-Benoit,01338,159.381361140723
10588,Saint-Bernard,01339,112.638565769906
10649,Sainte-Croix,01342,65.9523809523809
10682,Saint-Cyr-sur-Menthon,01343,151.365510856989
10732,Saint-Denis-lès-Bourg,01344,390.0
10793,Saint-Denis-en-Bugey,01345,75.701559020045
10864,Saint-Didier-d'Aussiat,01346,25.1760563380282
10887,Saint-Didier-de-Formans,01347,108.035714285714
10963,Saint-Didier-sur-Chalaronne,01348,332.258474475594
11015,Saint-Éloi,01349,27.8417762551441
11052,Saint-Étienne-du-Bois,01350,214.107967824619
11096,Saint-Étienne-sur-Chalaronne,01351,90.6333527068498
11146,Saint-Étienne-sur-Reyssouze,01352,20.4119808666716
11170,Sainte-Euphémie,01353,117.080128930962
11244,Saint-Genis-Pouilly,01354,970.0
11330,Saint-Genis-sur-Menthon,01355,20.6489133304964
11351,Saint-Georges-sur-Renon,01356,9.95215311004785
11373,Saint-Germain-de-Joux,01357,50.0
11386,Saint-Germain-les-Paroisses,01358,10.0107861546504
11398,Saint-Germain-sur-Renon,01359,47.1063829787234
11415,Saint-Jean-de-Gonville,01360,63.7097506540811
