,id_city,city_name,density_degree,density_type,total_pop_2019
112,01127,Courmangoux,6,Rural à habitat dispersé,508
113,01128,Courtes,6,Rural à habitat dispersé,305
114,01129,Crans,7,Rural à habitat très dispersé,291
115,01130,Bresse Vallons,6,Rural à habitat dispersé,2363
116,01133,Cressin-Rochefort,6,Rural à habitat dispersé,394
117,01134,Crottet,5,Bourgs ruraux,1758
118,01135,Crozet,4,Ceintures urbaines,2171
119,01136,Cruzilles-lès-Mépillat,6,Rural à habitat dispersé,893
120,01138,Culoz,5,Bourgs ruraux,3004
121,01139,Curciat-Dongalon,6,Rural à habitat dispersé,444
122,01140,Curtafond,6,Rural à habitat dispersé,767
123,01141,Cuzieu,6,Rural à habitat dispersé,453
124,01142,Dagneux,2,Centres urbains intermédiaires,4777
125,01143,Divonne-les-Bains,4,Ceintures urbaines,9951
126,01145,Dompierre-sur-Veyle,6,Rural à habitat dispersé,1179
127,01146,Dompierre-sur-Chalaronne,6,Rural à habitat dispersé,436
128,01147,Domsure,7,Rural à habitat très dispersé,492
129,01148,Dortan,5,Bourgs ruraux,1879
130,01149,Douvres,5,Bourgs ruraux,1076
131,01150,Drom,6,Rural à habitat dispersé,214
132,01151,Druillat,6,Rural à habitat dispersé,1146
133,01152,Échallon,6,Rural à habitat dispersé,748
134,01153,Échenevex,4,Ceintures urbaines,2115
135,01155,Évosges,6,Rural à habitat dispersé,143
136,01156,Faramans,6,Rural à habitat dispersé,815
137,01157,Fareins,5,Bourgs ruraux,2250
138,01158,Farges,5,Bourgs ruraux,1048
139,01159,Feillens,5,Bourgs ruraux,3365
140,01160,Ferney-Voltaire,2,Centres urbains intermédiaires,10026
141,01162,Flaxieu,6,Rural à habitat dispersé,65
142,01163,Foissiat,6,Rural à habitat dispersé,2038
143,01165,Francheleins,6,Rural à habitat dispersé,1594
144,01166,Frans,4,Ceintures urbaines,2423
145,01167,Garnerans,6,Rural à habitat dispersé,634
146,01169,Genouilleux,4,Ceintures urbaines,641
147,01170,Béard-Géovreissiat,3,Petites villes,1053
148,01171,Géovreisset,4,Ceintures urbaines,844
149,01173,Gex,2,Centres urbains intermédiaires,13121
150,01174,Giron,6,Rural à habitat dispersé,178
151,01175,Gorrevod,5,Bourgs ruraux,784
152,01177,Grand-Corent,6,Rural à habitat dispersé,183
153,01179,Grièges,5,Bourgs ruraux,1881
154,01180,Grilly,6,Rural à habitat dispersé,839
155,01181,Groissiat,6,Rural à habitat dispersé,1241
156,01183,Guéreins,4,Ceintures urbaines,1479
157,01184,Hautecourt-Romanèche,6,Rural à habitat dispersé,763
158,01185,Plateau d'Hauteville,5,Bourgs ruraux,4844
159,01187,Haut Valromey,7,Rural à habitat très dispersé,618
160,01188,Illiat,6,Rural à habitat dispersé,663
161,01189,Injoux-Génissiat,6,Rural à habitat dispersé,1115
162,01190,Innimond,6,Rural à habitat dispersé,87
163,01191,Izenave,6,Rural à habitat dispersé,154
164,01192,Izernore,5,Bourgs ruraux,2277
165,01193,Izieu,6,Rural à habitat dispersé,222
166,01194,Jassans-Riottier,4,Ceintures urbaines,6346
167,01195,Jasseron,5,Bourgs ruraux,1783
168,01196,Jayat,6,Rural à habitat dispersé,1226
169,01197,Journans,6,Rural à habitat dispersé,351
170,01198,Joyeux,7,Rural à habitat très dispersé,268
171,01199,Jujurieux,5,Bourgs ruraux,2137
172,01200,Labalme,6,Rural à habitat dispersé,214
173,01202,Lagnieu,3,Petites villes,7161
174,01203,Laiz,5,Bourgs ruraux,1313
