journey_id,time,journey_start_lon,journey_start_lat,cluster
7745497,15:10:00,2.115,48.751,14
7721854,15:10:00,2.357,48.941,25
7721820,15:10:00,2.599,48.869,6
7743019,15:20:00,2.308,48.908,25
7745562,15:20:00,2.034,48.787,26
7721840,15:20:00,2.401,48.922,27
7721842,15:20:00,2.402,48.922,27
7745543,15:20:00,2.662,48.948,13
7744911,15:20:00,2.13,48.882,14
7721864,15:20:00,2.577,48.848,6
7721863,15:20:00,2.577,48.848,6
7721862,15:20:00,2.577,48.848,6
7744908,15:20:00,2.13,48.882,14
7745567,15:20:00,2.586,48.84,6
7721931,15:20:00,2.384,48.858,11
7721771,15:20:00,2.765,48.854,0
7745554,15:20:00,2.455,48.868,27
7721963,15:20:00,2.375,48.99,5
7721936,15:20:00,2.644,48.82,6
7744571,15:20:00,2.599,48.869,6
7780634,15:20:00,2.152,48.836,14
7745566,15:20:00,2.586,48.84,6
7780633,15:20:00,2.059,48.788,26
7721930,15:20:00,3.307,48.784,19
7721938,15:20:00,2.38,48.857,11
7745556,15:20:00,1.983,48.832,2
7745548,15:20:00,2.072,48.806,26
7721843,15:20:00,2.632,48.84,6
7745547,15:20:00,2.662,48.948,13
7745540,15:20:00,1.99,48.83,2
7721801,15:20:00,2.471,48.898,27
7721805,15:20:00,2.471,48.898,27
7780630,15:20:00,1.849,48.976,9
7745553,15:20:00,1.919,48.821,2
7744572,15:20:00,2.599,48.869,6
7780632,15:20:00,2.786,48.852,0
7721995,15:30:00,2.295,48.924,25
7721882,15:30:00,2.039,48.783,26
7745565,15:30:00,2.461,48.818,17
7745570,15:30:00,2.359,48.817,11
7745546,15:30:00,2.455,48.868,27
7721867,15:30:00,2.231,48.998,3
7780972,15:30:00,2.793,48.891,0
7745580,15:30:00,2.041,48.785,26
7745575,15:30:00,2.117,49.052,15
7745564,15:30:00,2.461,48.818,17
7721883,15:30:00,2.461,48.817,17
7721879,15:30:00,2.461,48.817,17
7780955,15:30:00,2.314,48.927,25
7722005,15:30:00,2.295,48.925,25
7721823,15:30:00,2.284,49.146,3
7721824,15:30:00,2.284,49.146,3
7721888,15:30:00,2.22,49.001,3
7745517,15:30:00,2.426,48.755,17
7721887,15:30:00,2.22,49.001,3
7721886,15:30:00,2.22,49.001,3
7780975,15:30:00,2.314,48.927,25
7745582,15:30:00,2.226,48.999,3
7721828,15:30:00,2.284,49.146,3
7722728,15:30:00,2.768,48.856,0
7721992,15:30:00,2.295,48.925,25
7745545,15:30:00,2.455,48.868,27
7745579,15:30:00,2.546,49.009,18
7745576,15:30:00,2.309,48.854,11
7780973,15:30:00,2.368,48.768,1
7721924,15:30:00,2.522,48.939,18
7744582,15:40:00,2.327,48.923,25
7722587,15:40:00,2.371,48.77,1
7722253,15:40:00,2.279,48.763,22
7721953,15:40:00,2.039,48.942,28
7744590,15:40:00,2.327,48.923,25
7744033,15:40:00,2.451,48.798,17
7743031,15:40:00,2.364,48.833,11
7721904,15:40:00,2.431,48.904,27
7721978,15:40:00,2.391,48.975,5
7743937,15:40:00,2.04,48.941,28
7734685,15:40:00,2.385,48.846,11
7722485,15:40:00,2.385,48.846,11
7721940,15:40:00,2.406,48.804,1
7721859,15:40:00,2.797,48.871,0
7721856,15:40:00,2.797,48.871,0
7721905,15:40:00,2.479,48.806,17
7721903,15:40:00,2.479,48.806,17
7721959,15:40:00,2.313,48.927,25
7745569,15:40:00,2.227,48.999,3
7744088,15:40:00,2.316,48.926,25
7743024,15:40:00,2.37,48.771,1
7745589,15:40:00,2.326,48.925,25
7745593,15:40:00,2.753,48.451,23
7724632,15:40:00,2.316,48.83,11
7745563,15:40:00,2.615,48.843,6
7745560,15:40:00,2.615,48.843,6
7721908,15:40:00,2.367,48.834,11
7745587,15:40:00,3.289,48.637,19
7745586,15:40:00,2.706,48.874,0
7745584,15:40:00,2.226,48.999,3
7721892,15:40:00,2.481,48.836,17
7721860,15:40:00,2.797,48.871,0
7744134,15:40:00,2.364,48.837,11
7721942,15:40:00,2.313,48.925,25
7721958,15:40:00,2.313,48.927,25
7745601,15:40:00,2.47,48.873,27
7745597,15:40:00,2.498,49.005,18
7745596,15:40:00,2.328,48.926,25
7744075,15:40:00,2.317,48.925,25
7744042,15:40:00,2.313,48.927,25
7721969,15:40:00,2.039,48.942,28
7723621,15:40:00,2.309,48.932,25
7723623,15:40:00,2.309,48.932,25
7745555,15:40:00,2.242,48.88,8
7744759,15:40:00,2.504,48.757,17
7744583,15:40:00,2.327,48.923,25
7724625,15:40:00,2.316,48.83,11
7744053,15:40:00,2.316,48.926,25
7723864,15:40:00,2.314,48.926,25
7745594,15:40:00,2.753,48.451,23
7721907,15:40:00,2.479,48.806,17
7723622,15:50:00,2.309,48.932,25
7743129,15:50:00,1.831,48.652,21
7745515,15:50:00,2.671,49.072,13
7780985,15:50:00,2.222,48.774,22
7745514,15:50:00,2.671,49.072,13
7722259,15:50:00,2.516,48.921,18
7722517,15:50:00,2.348,48.834,11
7722000,15:50:00,1.974,48.79,2
7722301,15:50:00,2.234,48.95,3
7743025,15:50:00,2.381,48.745,1
7743021,15:50:00,2.386,48.742,1
7722021,15:50:00,2.228,48.882,8
7722494,15:50:00,2.348,48.833,11
7722502,15:50:00,2.346,48.835,11
